央视,#genre#
广西卫视,http://112.50.243.8/PLTV/88888888/224/3221225836/1.m3u8

巴蜀,#genre#
四川卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=085&Provider_id=&Pcontent_id=index.m3u8
四川新闻,http://101.207.178.10:80/PLTV/88888888/224/3221227411/1.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=007&Provider_id=&Pcontent_id=index.m3u8
四川经济,http://101.207.178.10:80/PLTV/88888888/224/3221227413/1.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=006&Provider_id=&Pcontent_id=index.m3u8
四川影视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=003&Provider_id=&Pcontent_id=index.m3u8
四川乡村,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=058&Provider_id=&Pcontent_id=index.m3u8
四川妇女儿童,http://101.207.178.10:80/PLTV/88888888/224/3221227405/1.m3u8
峨眉电影,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
熊猫频道,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=129&Provider_id=&Pcontent_id=index.m3u8
熊猫新闻,http://101.207.178.10:80/PLTV/88888888/224/3221227509/1.m3u8
成都1HD,http://101.207.178.10:80/PLTV/88888888/224/3221227495/1.m3u8
广安综合,http://live1.gatv.com.cn:85/live/XWZH.m3u8
广安公共,http://live1.gatv.com.cn:85/live/GGPD.m3u8
广安邻水,http://live.sctvcloud.com/live/linshui/playlist.m3u8
重庆卫视HD,http://ott.cqccn.com/PLTV/88888888/224/3221227421/index.m3u8
重庆新闻HD,http://ott.cqccn.com/PLTV/88888888/224/3221227424/index.m3u8
重庆公共HD,http://ott.cqccn.com/PLTV/88888888/224/3221227586/index.m3u8
重庆文体HD,http://ott.cqccn.com/PLTV/88888888/224/3221227604/index.m3u8
重庆影视HD,http://ott.cqccn.com/PLTV/88888888/224/3221227607/index.m3u8
重庆都市HD,http://ott.cqccn.com/PLTV/88888888/224/3221227427/index.m3u8
重庆生活HD,http://ott.cqccn.com/PLTV/88888888/224/3221227610/index.m3u8
重庆少儿HD,http://ott.cqccn.com/PLTV/88888888/224/3221227613/index.m3u8
重庆时尚HD,http://ott.cqccn.com/PLTV/88888888/224/3221227457/index.m3u8


伪装者,#genre#
第01集,https://yushou.qitu-zuida.com/20181130/21650_d1500bc4/index.m3u8
第02集,https://yushou.qitu-zuida.com/20181130/21649_3b5e1234/index.m3u8
第03集,https://yushou.qitu-zuida.com/20181130/21648_bdbdf27a/index.m3u8
第04集,https://yushou.qitu-zuida.com/20181130/21647_4ae6db0c/index.m3u8
第05集,https://yushou.qitu-zuida.com/20181130/21646_782906cd/index.m3u8
第06集,https://yushou.qitu-zuida.com/20181130/21645_cf8a35d6/index.m3u8
第07集,https://yushou.qitu-zuida.com/20181130/21644_9f70f817/index.m3u8
第08集,https://yushou.qitu-zuida.com/20181130/21643_18311271/index.m3u8
第09集,https://yushou.qitu-zuida.com/20181130/21642_6a5f3a9d/index.m3u8
第10集,https://feifei.feifeizuida.com/20181130/1886_8311cf07/index.m3u8
第11集,https://feifei.feifeizuida.com/20181130/1885_e8d548c5/index.m3u8
第12集,https://feifei.feifeizuida.com/20181130/1884_2f518a17/index.m3u8
第13集,https://feifei.feifeizuida.com/20181130/1883_1290ff7b/index.m3u8
第14集,https://feifei.feifeizuida.com/20181130/1882_a5cb8cc1/index.m3u8
第15集,https://feifei.feifeizuida.com/20181130/1881_d186cf6c/index.m3u8
第16集,https://feifei.feifeizuida.com/20181130/1880_6a7ba75c/index.m3u8
第17集,https://feifei.feifeizuida.com/20181130/1879_01b8c971/index.m3u8
第18集,https://feifei.feifeizuida.com/20181130/1878_e0b3f9f9/index.m3u8
第19集,https://yushou.qitu-zuida.com/20181130/21661_1b24b98b/index.m3u8
第20集,https://yushou.qitu-zuida.com/20181130/21660_3641c320/index.m3u8
第21集,https://yushou.qitu-zuida.com/20181130/21662_8b4cbcd8/index.m3u8
第22集,https://yushou.qitu-zuida.com/20181130/21659_ef4572b8/index.m3u8
第23集,https://yushou.qitu-zuida.com/20181130/21658_b933823f/index.m3u8
第24集,https://yushou.qitu-zuida.com/20181130/21657_57030790/index.m3u8
第25集,https://yushou.qitu-zuida.com/20181130/21656_6489e63f/index.m3u8
第26集,https://yushou.qitu-zuida.com/20181130/21655_96b60eb9/index.m3u8
第27集,https://yushou.qitu-zuida.com/20181130/21654_24e189bf/index.m3u8
第28集,https://yushou.qitu-zuida.com/20181130/21653_0c60d6ec/index.m3u8
第29集,https://yushou.qitu-zuida.com/20181130/21652_ab11f762/index.m3u8
第30集,https://yushou.qitu-zuida.com/20181130/21651_29ae9b88/index.m3u8
第31集,https://yushou.qitu-zuida.com/20181130/21672_d786e322/index.m3u8
第32集,https://yushou.qitu-zuida.com/20181130/21671_b1bbee01/index.m3u8
第33集,https://yushou.qitu-zuida.com/20181130/21670_28eeb9c5/index.m3u8
第34集,https://yushou.qitu-zuida.com/20181130/21669_32b9720e/index.m3u8
第35集,https://yushou.qitu-zuida.com/20181130/21668_55cf0ef8/index.m3u8
第36集,https://yushou.qitu-zuida.com/20181130/21667_3c1fe6a2/index.m3u8
第37集,https://yushou.qitu-zuida.com/20181130/21666_d920bf31/index.m3u8
第38集,https://yushou.qitu-zuida.com/20181130/21665_3ffef6ef/index.m3u8
第39集,https://yushou.qitu-zuida.com/20181130/21664_5b1346f0/index.m3u8
第40集,https://yushou.qitu-zuida.com/20181130/21663_375b073e/index.m3u8
第41集,https://feifei.feifeizuida.com/20181130/1894_f8941487/index.m3u8
第42集,https://feifei.feifeizuida.com/20181130/1893_bdbe3ac8/index.m3u8
第43集,https://feifei.feifeizuida.com/20181130/1891_d02dab56/index.m3u8
第44集,https://feifei.feifeizuida.com/20181130/1892_eb19af97/index.m3u8
第45集,https://feifei.feifeizuida.com/20181130/1890_f006403f/index.m3u8
第46集,https://feifei.feifeizuida.com/20181130/1889_048b1b70/index.m3u8
第47集,https://feifei.feifeizuida.com/20181130/1888_c0bbe379/index.m3u8
第48集,https://feifei.feifeizuida.com/20181130/1887_536f5d43/index.m3u8

父母爱情,#genre#
第01集,https://bili.meijuzuida.com/20190329/9854_e4b89cb5/index.m3u8
第02集,https://bili.meijuzuida.com/20190329/9853_981d83e0/index.m3u8
第03集,https://bili.meijuzuida.com/20190329/9852_d9d30e13/index.m3u8
第04集,https://bili.meijuzuida.com/20190329/9851_3592d73a/index.m3u8
第05集,https://bili.meijuzuida.com/20190329/9850_6be59319/index.m3u8
第06集,https://bili.meijuzuida.com/20190329/9849_7cdf1a69/index.m3u8
第07集,https://bili.meijuzuida.com/20190329/9848_ef193c97/index.m3u8
第08集,https://bili.meijuzuida.com/20190329/9847_fe2a78a9/index.m3u8
第09集,https://bili.meijuzuida.com/20190329/9846_754902e8/index.m3u8
第10集,https://bili.meijuzuida.com/20190329/9845_d5343533/index.m3u8
第11集,https://bili.meijuzuida.com/20190329/9844_efd766e0/index.m3u8
第12集,https://bili.meijuzuida.com/20190329/9843_3d2cfc30/index.m3u8
第13集,https://bili.meijuzuida.com/20190329/9842_b5adf4a9/index.m3u8
第14集,https://bili.meijuzuida.com/20190329/9841_8616ace0/index.m3u8
第15集,https://bili.meijuzuida.com/20190329/9840_5e0c5ca4/index.m3u8
第16集,https://bili.meijuzuida.com/20190329/9839_18d9a480/index.m3u8
第17集,https://bili.meijuzuida.com/20190329/9838_06e65b2c/index.m3u8
第18集,https://bili.meijuzuida.com/20190329/9837_91d9e046/index.m3u8
第19集,https://bili.meijuzuida.com/20190329/9836_05c8e454/index.m3u8
第20集,https://bili.meijuzuida.com/20190329/9835_bff699ec/index.m3u8
第21集,https://bili.meijuzuida.com/20190329/9834_9a377f0e/index.m3u8
第22集,https://bili.meijuzuida.com/20190329/9833_1c04ec9e/index.m3u8
第23集,https://bili.meijuzuida.com/20190329/9832_f28960b4/index.m3u8
第24集,https://bili.meijuzuida.com/20190329/9831_c4192518/index.m3u8
第25集,https://bili.meijuzuida.com/20190329/9830_604b165c/index.m3u8
第26集,https://bili.meijuzuida.com/20190329/9829_22a0b5c7/index.m3u8
第27集,https://bili.meijuzuida.com/20190329/9828_0af55568/index.m3u8
第28集,https://bili.meijuzuida.com/20190329/9827_d0b3beed/index.m3u8
第29集,https://bili.meijuzuida.com/20190329/9826_1e614d37/index.m3u8
第30集,https://bili.meijuzuida.com/20190329/9825_0b8f24ed/index.m3u8
第31集,https://bili.meijuzuida.com/20190329/9824_1343108b/index.m3u8
第32集,https://bili.meijuzuida.com/20190329/9823_9bcc89f5/index.m3u8
第33集,https://bili.meijuzuida.com/20190329/9822_4e323d0a/index.m3u8
第34集,https://bili.meijuzuida.com/20190329/9821_5f0fdeb1/index.m3u8
第35集,https://bili.meijuzuida.com/20190329/9820_537bff46/index.m3u8
第36集,https://bili.meijuzuida.com/20190329/9819_d8d883b2/index.m3u8
第37集,https://bili.meijuzuida.com/20190329/9818_a6f6e504/index.m3u8
第38集,https://bili.meijuzuida.com/20190329/9817_eed433d6/index.m3u8
第39集,https://bili.meijuzuida.com/20190329/9816_b57028e2/index.m3u8
第40集,https://bili.meijuzuida.com/20190329/9815_709d32cf/index.m3u8
第41集,https://bili.meijuzuida.com/20190329/9814_2a98dff3/index.m3u8
第42集,https://bili.meijuzuida.com/20190329/9813_5e30eb27/index.m3u8
第43集,https://bili.meijuzuida.com/20190329/9812_025b955c/index.m3u8
第44集,https://bili.meijuzuida.com/20190329/9811_ba580d72/index.m3u8

都挺好,#genre#
第01集,https://2.mhbobo.com/20190807/RZ9LUhfc/index.m3u8
第02集,https://2.mhbobo.com/20190807/X0bhJJQY/index.m3u8
第03集,https://2.mhbobo.com/20190807/CqpeHFxv/index.m3u8
第04集,https://2.mhbobo.com/20190807/irkMhmbv/index.m3u8
第05集,https://2.mhbobo.com/20190807/8oiI1Wcd/index.m3u8
第06集,https://2.mhbobo.com/20190807/kUpR4fWt/index.m3u8
第07集,https://2.mhbobo.com/20190807/5m8EQbl7/index.m3u8
第08集,https://2.mhbobo.com/20190807/6wuBI8gH/index.m3u8
第09集,https://2.mhbobo.com/20190807/acv3nkyr/index.m3u8
第10集,https://2.mhbobo.com/20190807/CNKtXZrA/index.m3u8
第11集,https://2.mhbobo.com/20190807/mBXgA5r9/index.m3u8
第12集,https://2.mhbobo.com/20190807/73gWdzdX/index.m3u8
第13集,https://2.mhbobo.com/20190807/rns21N3w/index.m3u8
第14集,https://2.mhbobo.com/20190807/NA3sA2pV/index.m3u8
第15集,https://2.mhbobo.com/20190807/O3oADpvi/index.m3u8
第16集,https://2.mhbobo.com/20190807/0Ez11YlJ/index.m3u8
第17集,https://2.mhbobo.com/20190807/PEaIDuOM/index.m3u8
第18集,https://2.mhbobo.com/20190807/UzMYJQHm/index.m3u8
第19集,https://2.mhbobo.com/20190807/cU8Csmil/index.m3u8
第20集,https://2.mhbobo.com/20190807/aekMiC3J/index.m3u8
第21集,https://2.mhbobo.com/20190807/X1xeAKfm/index.m3u8
第22集,https://2.mhbobo.com/20190807/iorLFRDU/index.m3u8
第23集,https://2.mhbobo.com/20190807/xfP2ceOw/index.m3u8
第24集,https://2.mhbobo.com/20190807/iCAqsq5B/index.m3u8
第25集,https://2.mhbobo.com/20190807/E27XWXML/index.m3u8
第26集,https://2.mhbobo.com/20190807/9WoAeUny/index.m3u8
第27集,https://2.mhbobo.com/20190807/mwOCEOmL/index.m3u8
第28集,https://2.mhbobo.com/20190807/TrwlraZK/index.m3u8
第29集,https://2.mhbobo.com/20190807/ji51l2dv/index.m3u8
第30集,https://2.mhbobo.com/20190807/9tORJOmN/index.m3u8
第31集,https://2.mhbobo.com/20190807/8b8VydJn/index.m3u8
第32集,https://2.mhbobo.com/20190807/IWnIfjbe/index.m3u8
第33集,https://2.mhbobo.com/20190807/u9SjsJv2/index.m3u8
第34集,https://2.mhbobo.com/20190807/PMZgSAta/index.m3u8
第35集,https://2.mhbobo.com/20190807/BJYlXF4o/index.m3u8
第36集,https://2.mhbobo.com/20190807/xMhPR3ce/index.m3u8
第37集,https://2.mhbobo.com/20190807/RZzzZwyE/index.m3u8
第38集,https://2.mhbobo.com/20190807/7uabGHuk/index.m3u8
第39集,https://2.mhbobo.com/20190807/3C5nHTqv/index.m3u8
第40集,https://2.mhbobo.com/20190807/IaAG5zpK/index.m3u8
第41集,https://2.mhbobo.com/20190807/VZrZiU32/index.m3u8
第42集,https://2.mhbobo.com/20190807/A0xLWPTn/index.m3u8
第43集,https://2.mhbobo.com/20190807/NapuUbDY/index.m3u8
第44集,https://2.mhbobo.com/20190807/hJvMbMhW/index.m3u8
第45集,https://2.mhbobo.com/20190807/yp7wWoa4/index.m3u8
第46集,https://2.mhbobo.com/20190807/Gj1dRkas/index.m3u8

欢乐颂,#genre#
第01集,https://mei.huazuida.com/20200112/22288_b5c32204/index.m3u8
第02集,https://mei.huazuida.com/20200112/22287_3642b9fb/index.m3u8
第03集,https://mei.huazuida.com/20200112/22286_c10b1855/index.m3u8
第04集,https://mei.huazuida.com/20200112/22285_911c4698/index.m3u8
第05集,https://mei.huazuida.com/20200112/22284_be5bc520/index.m3u8
第06集,https://mei.huazuida.com/20200112/22283_5122369e/index.m3u8
第07集,https://mei.huazuida.com/20200112/22282_315479ba/index.m3u8
第08集,https://mei.huazuida.com/20200112/22281_1835092a/index.m3u8
第09集,https://mei.huazuida.com/20200112/22280_f256b3f0/index.m3u8
第10集,https://mei.huazuida.com/20200112/22279_e50b1e07/index.m3u8
第11集,https://mei.huazuida.com/20200112/22278_295687c7/index.m3u8
第12集,https://mei.huazuida.com/20200112/22277_d44d9aa7/index.m3u8
第13集,https://mei.huazuida.com/20200112/22276_50a3ca33/index.m3u8
第14集,https://mei.huazuida.com/20200112/22275_b872d53f/index.m3u8
第15集,https://mei.huazuida.com/20200112/22274_d186bf7a/index.m3u8
第16集,https://mei.huazuida.com/20200112/22273_85d84469/index.m3u8
第17集,https://mei.huazuida.com/20200112/22272_c894b75c/index.m3u8
第18集,https://mei.huazuida.com/20200112/22271_1c198cb3/index.m3u8
第19集,https://mei.huazuida.com/20200112/22270_b3fe88ad/index.m3u8
第20集,https://mei.huazuida.com/20200112/22269_19185533/index.m3u8
第21集,https://mei.huazuida.com/20200112/22268_c6de90c0/index.m3u8
第22集,https://mei.huazuida.com/20200112/22267_12b65910/index.m3u8
第23集,https://mei.huazuida.com/20200112/22266_f9ce9b14/index.m3u8
第24集,https://mei.huazuida.com/20200112/22265_e11cfcea/index.m3u8
第25集,https://mei.huazuida.com/20200112/22264_37d4453c/index.m3u8
